Pipeline,Missing,Imbalance,Model,ROC-AUC,PR-AUC,F1-Score,Recall,Precision
M0_I0,M0,I0,Logistic Regression,0.8492203685530476,0.2174477752743617,0.0,0.0,0.0
M0_I0,M0,I0,Random Forest,0.8132264747573874,0.18758260348874334,0.0,0.0,0.0
M0_I0,M0,I0,Gradient Boosting,0.8436048413477265,0.16477902388966142,0.04,0.022222222222222223,0.2
M0_I1,M0,I1,Logistic Regression,0.8509431904917675,0.22646616347137002,0.22510822510822512,0.5777777777777777,0.13978494623655913
M0_I1,M0,I1,Random Forest,0.8258423290807981,0.16497761279463552,0.16842105263157894,0.17777777777777778,0.16
M0_I1,M0,I1,Gradient Boosting,0.8263221022789227,0.15305675411187972,0.18518518518518517,0.2222222222222222,0.15873015873015872
M0_I2,M0,I2,Logistic Regression,0.8507687275106313,0.20378385179259903,0.21348314606741572,0.8444444444444444,0.12218649517684887
M0_I2,M0,I2,Random Forest,0.8116454039908407,0.18549790911075614,0.0,0.0,0.0
M0_I2,M0,I2,Gradient Boosting,0.8436048413477265,0.16477902388966142,0.04,0.022222222222222223,0.2
M1_I0,M1,I0,Logistic Regression,0.8361423220973783,0.15852296157594994,0.0,0.0,0.0
M1_I0,M1,I0,Random Forest,0.8356654875849632,0.2721820685456281,0.16393442622950818,0.09259259259259259,0.7142857142857143
M1_I0,M1,I0,Gradient Boosting,0.8540452906089611,0.19078241185820224,0.0,0.0,0.0
M1_I1,M1,I1,Logistic Regression,0.8381190178942987,0.16551298931541464,0.23809523809523808,0.5555555555555556,0.15151515151515152
M1_I1,M1,I1,Random Forest,0.8464766264391733,0.23915765970124878,0.2413793103448276,0.25925925925925924,0.22580645161290322
M1_I1,M1,I1,Gradient Boosting,0.8291545290608962,0.20199384282457825,0.24390243902439024,0.2777777777777778,0.21739130434782608
M1_I2,M1,I2,Logistic Regression,0.8389166319877931,0.15920404401519783,0.21024258760107817,0.7222222222222222,0.12302839116719243
M1_I2,M1,I2,Random Forest,0.8373734221112498,0.26766506710303284,0.10526315789473684,0.05555555555555555,1.0
M1_I2,M1,I2,Gradient Boosting,0.8540452906089611,0.19078241185820224,0.0,0.0,0.0
M2_I0,M2,I0,Logistic Regression,0.8360556249133029,0.15730338412851755,0.0,0.0,0.0
M2_I0,M2,I0,Random Forest,0.8213604522125121,0.2796622492532269,0.1694915254237288,0.09259259259259259,1.0
M2_I0,M2,I0,Gradient Boosting,0.8450634623387432,0.1626024169658542,0.03389830508474576,0.018518518518518517,0.2
M2_I1,M2,I1,Logistic Regression,0.8378415869052573,0.1651709882324636,0.2450592885375494,0.5740740740740741,0.15577889447236182
M2_I1,M2,I1,Random Forest,0.8231637536412817,0.244764067224625,0.27522935779816515,0.2777777777777778,0.2727272727272727
M2_I1,M2,I1,Gradient Boosting,0.8213171036204744,0.22184089926943323,0.22764227642276422,0.25925925925925924,0.2028985507246377
M2_I2,M2,I2,Logistic Regression,0.8393154390345401,0.15899441121839056,0.20855614973262032,0.7222222222222222,0.121875
M2_I2,M2,I2,Random Forest,0.8285996670828133,0.2910238116293101,0.07142857142857142,0.037037037037037035,1.0
M2_I2,M2,I2,Gradient Boosting,0.8450634623387432,0.1626024169658542,0.03389830508474576,0.018518518518518517,0.2
